,discoverymethod,pl_masse,pl_name,pl_orbper,pl_rade
1784,Transit,,Kepler-472 b,4.17625551,3.22
1785,Transit,,Kepler-633 b,8.50340718,1.63
1786,Radial Velocity,3299.05886,HD 38529 c,2127.60566,
1787,Radial Velocity,,HD 74156 b,51.63564,
1788,Radial Velocity,,HD 115404 A b,10.49488,
1789,Radial Velocity,,HD 13724 c,142.22895,
1790,Radial Velocity,,HD 156098 b,21.85849,
1791,Radial Velocity,,HD 12235 b,4.36305,
1792,Radial Velocity,,HD 153557 b,7.29903,
1793,Radial Velocity,,HD 155918 b,1.87567,
1794,Radial Velocity,,HD 168443 b,58.11187,
1795,Radial Velocity,2958.98247,HD 183263 c,4667.97841,
1796,Radial Velocity,,HD 217786 c,2.52221,
1797,Radial Velocity,2346.52713,HD 11506 d,14723.57452,
1798,Radial Velocity,,HD 43197 b,308.92072,
1799,Radial Velocity,,HD 127506 b,65.78395,
1800,Radial Velocity,,GJ 676 A e,35.47358,
1801,Radial Velocity,,HD 219828 b,3.83483,
1802,Radial Velocity,,HD 122562 c,84.96276,
1803,Radial Velocity,,HD 203387 b,512.5352,
1804,Radial Velocity,1954.6447,HD 30177 c,12085.45186,
1805,Radial Velocity,2980.91263,HD 181234 b,7593.40512,
1806,Transit,156.05375,HATS-75 b,2.7886556,9.909
1807,Radial Velocity,,HD 81817 c,622.97802,
1808,Radial Velocity,,HD 183263 b,624.87404,
1809,Radial Velocity,2151.69832,HIP 56640 b,2675.57603,
1810,Radial Velocity,1597.08775,HD 145675 c,15732.45889,
1811,Radial Velocity,,HD 93351 b,2.45946,
1812,Radial Velocity,7668.5638,HD 81817 b,1021.20159,
1813,Radial Velocity,2500.67391,HD 43197 c,9295.9735,
1814,Radial Velocity,2037.59792,HD 175167 b,1276.07604,
1815,Radial Velocity,4402.55909,HD 217786 b,1301.36009,
1816,Radial Velocity,560.64931,HD 66428 c,10478.84437,
1817,Transit,10.2,HD 73583 b,6.398042,2.79
